StateProvince,01/22/2020 new confirmed,01/22/2020 total confirmed,01/22/2020 new deaths,01/22/2020 total deaths,01/23/2020 new confirmed,01/23/2020 total confirmed,01/23/2020 new deaths,01/23/2020 total deaths,01/24/2020 new confirmed,01/24/2020 total confirmed,01/24/2020 new deaths,01/24/2020 total deaths,01/25/2020 new confirmed,01/25/2020 total confirmed,01/25/2020 new deaths,01/25/2020 total deaths,01/26/2020 new confirmed,01/26/2020 total confirmed,01/26/2020 new deaths,01/26/2020 total deaths,01/27/2020 new confirmed,01/27/2020 total confirmed,01/27/2020 new deaths,01/27/2020 total deaths,01/28/2020 new confirmed,01/28/2020 total confirmed,01/28/2020 new deaths,01/28/2020 total deaths,01/29/2020 new confirmed,01/29/2020 total confirmed,01/29/2020 new deaths,01/29/2020 total deaths,01/30/2020 new confirmed,01/30/2020 total confirmed,01/30/2020 new deaths,01/30/2020 total deaths,01/31/2020 new confirmed,01/31/2020 total confirmed,01/31/2020 new deaths,01/31/2020 total deaths,02/01/2020 new confirmed,02/01/2020 total confirmed,02/01/2020 new deaths,02/01/2020 total deaths,02/02/2020 new confirmed,02/02/2020 total confirmed,02/02/2020 new deaths,02/02/2020 total deaths,02/03/2020 new confirmed,02/03/2020 total confirmed,02/03/2020 new deaths,02/03/2020 total deaths,02/04/2020 new confirmed,02/04/2020 total confirmed,02/04/2020 new deaths,02/04/2020 total deaths,02/05/2020 new confirmed,02/05/2020 total confirmed,02/05/2020 new deaths,02/05/2020 total deaths,02/06/2020 new confirmed,02/06/2020 total confirmed,02/06/2020 new deaths,02/06/2020 total deaths,02/07/2020 new confirmed,02/07/2020 total confirmed,02/07/2020 new deaths,02/07/2020 total deaths,02/08/2020 new confirmed,02/08/2020 total confirmed,02/08/2020 new deaths,02/08/2020 total deaths,02/09/2020 new confirmed,02/09/2020 total confirmed,02/09/2020 new deaths,02/09/2020 total deaths,02/10/2020 new confirmed,02/10/2020 total confirmed,02/10/2020 new deaths,02/10/2020 total deaths,02/11/2020 new confirmed,02/11/2020 total confirmed,02/11/2020 new deaths,02/11/2020 total deaths,02/12/2020 new confirmed,02/12/2020 total confirmed,02/12/2020 new deaths,02/12/2020 total deaths,02/13/2020 new confirmed,02/13/2020 total confirmed,02/13/2020 new deaths,02/13/2020 total deaths,02/14/2020 new confirmed,02/14/2020 total confirmed,02/14/2020 new deaths,02/14/2020 total deaths,02/15/2020 new confirmed,02/15/2020 total confirmed,02/15/2020 new deaths,02/15/2020 total deaths,02/16/2020 new confirmed,02/16/2020 total confirmed,02/16/2020 new deaths,02/16/2020 total deaths,02/17/2020 new confirmed,02/17/2020 total confirmed,02/17/2020 new deaths,02/17/2020 total deaths,02/18/2020 new confirmed,02/18/2020 total confirmed,02/18/2020 new deaths,02/18/2020 total deaths,02/19/2020 new confirmed,02/19/2020 total confirmed,02/19/2020 new deaths,02/19/2020 total deaths,02/20/2020 new confirmed,02/20/2020 total confirmed,02/20/2020 new deaths,02/20/2020 total deaths,02/21/2020 new confirmed,02/21/2020 total confirmed,02/21/2020 new deaths,02/21/2020 total deaths,02/22/2020 new confirmed,02/22/2020 total confirmed,02/22/2020 new deaths,02/22/2020 total deaths,02/23/2020 new confirmed,02/23/2020 total confirmed,02/23/2020 new deaths,02/23/2020 total deaths,02/24/2020 new confirmed,02/24/2020 total confirmed,02/24/2020 new deaths,02/24/2020 total deaths,02/25/2020 new confirmed,02/25/2020 total confirmed,02/25/2020 new deaths,02/25/2020 total deaths,02/26/2020 new confirmed,02/26/2020 total confirmed,02/26/2020 new deaths,02/26/2020 total deaths,02/27/2020 new confirmed,02/27/2020 total confirmed,02/27/2020 new deaths,02/27/2020 total deaths,02/28/2020 new confirmed,02/28/2020 total confirmed,02/28/2020 new deaths,02/28/2020 total deaths,02/29/2020 new confirmed,02/29/2020 total confirmed,02/29/2020 new deaths,02/29/2020 total deaths,03/01/2020 new confirmed,03/01/2020 total confirmed,03/01/2020 new deaths,03/01/2020 total deaths,03/02/2020 new confirmed,03/02/2020 total confirmed,03/02/2020 new deaths,03/02/2020 total deaths,03/03/2020 new confirmed,03/03/2020 total confirmed,03/03/2020 new deaths,03/03/2020 total deaths,03/04/2020 new confirmed,03/04/2020 total confirmed,03/04/2020 new deaths,03/04/2020 total deaths,03/05/2020 new confirmed,03/05/2020 total confirmed,03/05/2020 new deaths,03/05/2020 total deaths,03/06/2020 new confirmed,03/06/2020 total confirmed,03/06/2020 new deaths,03/06/2020 total deaths,03/07/2020 new confirmed,03/07/2020 total confirmed,03/07/2020 new deaths,03/07/2020 total deaths,03/08/2020 new confirmed,03/08/2020 total confirmed,03/08/2020 new deaths,03/08/2020 total deaths,03/09/2020 new confirmed,03/09/2020 total confirmed,03/09/2020 new deaths,03/09/2020 total deaths,03/10/2020 new confirmed,03/10/2020 total confirmed,03/10/2020 new deaths,03/10/2020 total deaths,03/11/2020 new confirmed,03/11/2020 total confirmed,03/11/2020 new deaths,03/11/2020 total deaths,03/12/2020 new confirmed,03/12/2020 total confirmed,03/12/2020 new deaths,03/12/2020 total deaths,03/13/2020 new confirmed,03/13/2020 total confirmed,03/13/2020 new deaths,03/13/2020 total deaths,03/14/2020 new confirmed,03/14/2020 total confirmed,03/14/2020 new deaths,03/14/2020 total deaths,03/15/2020 new confirmed,03/15/2020 total confirmed,03/15/2020 new deaths,03/15/2020 total deaths,03/16/2020 new confirmed,03/16/2020 total confirmed,03/16/2020 new deaths,03/16/2020 total deaths,03/17/2020 new confirmed,03/17/2020 total confirmed,03/17/2020 new deaths,03/17/2020 total deaths,03/18/2020 new confirmed,03/18/2020 total confirmed,03/18/2020 new deaths,03/18/2020 total deaths,03/19/2020 new confirmed,03/19/2020 total confirmed,03/19/2020 new deaths,03/19/2020 total deaths,03/20/2020 new confirmed,03/20/2020 total confirmed,03/20/2020 new deaths,03/20/2020 total deaths,03/21/2020 new confirmed,03/21/2020 total confirmed,03/21/2020 new deaths,03/21/2020 total deaths,03/22/2020 new confirmed,03/22/2020 total confirmed,03/22/2020 new deaths,03/22/2020 total deaths,03/23/2020 new confirmed,03/23/2020 total confirmed,03/23/2020 new deaths,03/23/2020 total deaths,03/24/2020 new confirmed,03/24/2020 total confirmed,03/24/2020 new deaths,03/24/2020 total deaths,03/25/2020 new confirmed,03/25/2020 total confirmed,03/25/2020 new deaths,03/25/2020 total deaths,03/26/2020 new confirmed,03/26/2020 total confirmed,03/26/2020 new deaths,03/26/2020 total deaths,03/27/2020 new confirmed,03/27/2020 total confirmed,03/27/2020 new deaths,03/27/2020 total deaths,03/28/2020 new confirmed,03/28/2020 total confirmed,03/28/2020 new deaths,03/28/2020 total deaths,03/29/2020 new confirmed,03/29/2020 total confirmed,03/29/2020 new deaths,03/29/2020 total deaths,03/30/2020 new confirmed,03/30/2020 total confirmed,03/30/2020 new deaths,03/30/2020 total deaths,03/31/2020 new confirmed,03/31/2020 total confirmed,03/31/2020 new deaths,03/31/2020 total deaths,04/01/2020 new confirmed,04/01/2020 total confirmed,04/01/2020 new deaths,04/01/2020 total deaths,04/02/2020 new confirmed,04/02/2020 total confirmed,04/02/2020 new deaths,04/02/2020 total deaths,04/03/2020 new confirmed,04/03/2020 total confirmed,04/03/2020 new deaths,04/03/2020 total deaths,04/04/2020 new confirmed,04/04/2020 total confirmed,04/04/2020 new deaths,04/04/2020 total deaths,04/05/2020 new confirmed,04/05/2020 total confirmed,04/05/2020 new deaths,04/05/2020 total deaths,04/06/2020 new confirmed,04/06/2020 total confirmed,04/06/2020 new deaths,04/06/2020 total deaths,04/07/2020 new confirmed,04/07/2020 total confirmed,04/07/2020 new deaths,04/07/2020 total deaths,04/08/2020 new confirmed,04/08/2020 total confirmed,04/08/2020 new deaths,04/08/2020 total deaths,04/09/2020 new confirmed,04/09/2020 total confirmed,04/09/2020 new deaths,04/09/2020 total deaths,04/10/2020 new confirmed,04/10/2020 total confirmed,04/10/2020 new deaths,04/10/2020 total deaths,04/11/2020 new confirmed,04/11/2020 total confirmed,04/11/2020 new deaths,04/11/2020 total deaths,04/12/2020 new confirmed,04/12/2020 total confirmed,04/12/2020 new deaths,04/12/2020 total deaths,04/13/2020 new confirmed,04/13/2020 total confirmed,04/13/2020 new deaths,04/13/2020 total deaths,04/14/2020 new confirmed,04/14/2020 total confirmed,04/14/2020 new deaths,04/14/2020 total deaths,04/15/2020 new confirmed,04/15/2020 total confirmed,04/15/2020 new deaths,04/15/2020 total deaths,04/16/2020 new confirmed,04/16/2020 total confirmed,04/16/2020 new deaths,04/16/2020 total deaths,04/17/2020 new confirmed,04/17/2020 total confirmed,04/17/2020 new deaths,04/17/2020 total deaths,04/18/2020 new confirmed,04/18/2020 total confirmed,04/18/2020 new deaths,04/18/2020 total deaths,04/19/2020 new confirmed,04/19/2020 total confirmed,04/19/2020 new deaths,04/19/2020 total deaths,04/20/2020 new confirmed,04/20/2020 total confirmed,04/20/2020 new deaths,04/20/2020 total deaths,04/21/2020 new confirmed,04/21/2020 total confirmed,04/21/2020 new deaths,04/21/2020 total deaths,04/22/2020 new confirmed,04/22/2020 total confirmed,04/22/2020 new deaths,04/22/2020 total deaths,04/23/2020 new confirmed,04/23/2020 total confirmed,04/23/2020 new deaths,04/23/2020 total deaths,04/24/2020 new confirmed,04/24/2020 total confirmed,04/24/2020 new deaths,04/24/2020 total deaths,04/25/2020 new confirmed,04/25/2020 total confirmed,04/25/2020 new deaths,04/25/2020 total deaths
District of Columbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,5,10,0,0,0,10,0,0,0,10,0,0,0,10,0,0,6,16,0,0,6,22,0,0,0,22,0,0,9,31,0,0,9,40,0,0,31,71,1,1,27,98,0,1,106,204,1,2,-84,120,0,2,21,141,0,2,46,187,0,2,44,231,1,3,40,271,0,3,33,304,1,4,38,342,1,5,59,401,4,9,94,495,0,9,91,586,0,9,67,653,3,12,104,757,3,15,145,902,6,21,100,1002,1,22,95,1097,2,24,114,1211,-2,22,229,1440,5,27,83,1523,5,32,137,1660,6,38,118,1778,9,47,97,1875,3,50,80,1955,2,52,103,2058,15,67,139,2197,5,72,153,2350,9,81,126,2476,5,86,190,2666,5,91,127,2793,5,96,134,2927,9,105,171,3098,7,112,108,3206,15,127,155,3361,12,139,167,3528,14,153,171,3699,12,165
Florida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,2,2,13,28,0,2,7,35,0,2,15,50,0,2,26,76,1,3,39,115,1,4,40,155,1,5,61,216,1,6,98,314,1,7,103,417,2,9,146,563,1,10,96,659,3,13,345,1004,0,13,223,1227,5,18,185,1412,0,18,270,1682,5,23,675,2357,6,29,543,2900,6,35,863,3763,19,54,483,4246,2,56,1227,5473,7,63,1268,6741,22,85,215,6956,2,87,2052,9008,77,164,1260,10268,6,170,1269,11537,25,195,813,12350,26,221,974,13324,15,236,1221,14545,47,283,911,15456,26,309,908,16364,45,354,1167,17531,36,390,963,18494,48,438,1401,19895,23,461,1124,21019,38,499,609,21628,72,571,883,22511,25,596,832,23343,72,668,1416,24759,57,725,733,25492,23,748,822,26314,26,774,745,27059,48,822,810,27869,45,867,440,28309,26,893,1339,29648,94,987,885,30533,59,1046,306,30839,9,1055
Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,0,0,6,23,0,0,8,31,1,1,11,42,0,1,24,66,0,1,33,99,0,1,22,121,0,1,25,146,0,1,53,199,2,3,88,287,7,10,133,420,3,13,87,507,1,14,114,621,11,25,151,772,0,25,254,1026,7,32,221,1247,8,40,278,1525,8,48,475,2000,16,64,366,2366,5,69,285,2651,11,80,157,2808,7,87,1121,3929,24,111,709,4638,28,139,710,5348,24,163,483,5831,21,184,329,6160,17,201,487,6647,10,211,667,7314,18,229,1508,8822,100,329,1079,9901,33,362,665,10566,17,379,919,11485,37,416,674,12159,13,429,293,12452,4,433,863,13315,32,465,1263,14578,60,525,409,14987,27,552,682,15669,35,587,1525,17194,63,650,475,17669,23,673,632,18301,14,687,1106,19407,88,775,474,19881,23,798,1333,21214,50,848,669,21883,33,881,608,22491,18,899,731,23222,8,907
Guam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,0,0,3,0,0,2,5,0,0,7,12,0,0,2,14,0,0,1,15,0,0,12,27,1,1,2,29,0,1,3,32,0,1,5,37,0,1,8,45,0,1,6,51,0,1,4,55,0,1,1,56,0,1,2,58,0,1,11,69,1,2,8,77,1,3,5,82,0,3,2,84,1,4,9,93,0,4,19,112,0,4,1,113,0,4,8,121,0,4,0,121,0,4,7,128,0,4,2,130,0,4,3,133,1,5,0,133,0,5,0,133,0,5,0,133,0,5,2,135,0,5,0,135,0,5,1,136,0,5,0,136,0,5,0,136,0,5,0,136,0,5,0,136,0,5,0,136,0,5,3,139,0,5,2,141,0,5,0,141,0,5
Hawaii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,2,4,0,0,2,6,0,0,1,7,0,0,3,10,0,0,4,14,0,0,2,16,0,0,10,26,0,0,11,37,0,0,16,53,0,0,3,56,0,0,34,90,1,1,1,91,-1,0,4,95,0,0,11,106,0,0,43,149,0,0,0,149,0,0,26,175,0,0,29,204,0,0,20,224,1,1,32,256,0,1,63,319,2,3,32,351,0,3,20,371,1,4,16,387,1,5,23,410,0,5,0,410,0,5,32,442,1,6,0,442,0,6,23,465,2,8,34,499,1,9,5,504,0,9,7,511,0,9,13,524,0,9,6,530,0,9,11,541,0,9,33,574,0,9,6,580,1,10,4,584,0,10,2,586,0,10,6,592,2,12,4,596,0,12,5,601,1,13,4,605,0,13
Idaho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,0,3,5,0,0,0,5,0,0,3,8,0,0,1,9,0,0,2,11,0,0,12,23,0,0,13,36,0,0,6,42,0,0,26,68,0,0,13,81,0,0,10,91,0,0,55,146,3,3,59,205,0,3,29,234,1,4,47,281,1,5,59,340,1,6,175,515,2,8,51,566,1,9,210,776,0,9,115,891,0,9,131,1022,1,10,56,1078,0,10,23,1101,0,10,69,1170,3,13,40,1210,2,15,22,1232,3,18,122,1354,6,24,42,1396,1,25,11,1407,2,27,19,1426,0,27,38,1464,6,33,9,1473,6,39,114,1587,2,41,22,1609,0,41,46,1655,2,43,13,1668,1,44,4,1672,1,45,64,1736,3,48,30,1766,3,51,70,1836,3,54,34,1870,0,54,17,1887,2,56
Illinois,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,13,25,0,0,7,32,0,0,14,46,0,0,18,64,0,0,29,93,0,0,12,105,0,0,56,161,1,1,1,162,0,1,260,422,3,4,163,585,1,5,168,753,1,6,296,1049,3,9,236,1285,3,12,252,1537,4,16,328,1865,3,19,673,2538,7,26,486,3024,8,34,467,3491,13,47,1105,4596,19,66,460,5056,7,73,938,5994,26,99,986,6980,42,141,715,7695,22,163,1209,8904,47,210,1453,10357,34,244,902,11259,30,274,1003,12262,33,307,9,12271,1,308,2807,15078,154,462,1,15079,0,462,2808,17887,135,597,1293,19180,80,677,1672,20852,43,720,1173,22025,78,798,1223,23248,70,868,1345,24593,81,949,1141,25734,123,1072,1844,27578,60,1132,1582,29160,127,1259,1197,30357,31,1290,1156,31513,59,1349,1546,33059,119,1468,2048,35107,97,1565,1830,36937,123,1688,2721,39658,107,1795,2119,41777,80,1875
Indiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,5,11,0,0,2,13,0,0,0,13,0,0,3,16,0,0,4,20,0,0,5,25,1,1,5,30,1,2,9,39,0,2,21,60,0,2,26,86,0,2,42,128,2,4,76,204,2,6,66,270,1,7,98,368,5,12,109,477,2,14,168,645,3,17,334,979,8,25,254,1233,6,31,280,1513,1,32,273,1786,3,35,372,2158,14,49,406,2564,16,65,474,3038,13,78,399,3437,24,102,516,3953,14,116,458,4411,11,127,545,4956,16,143,554,5510,30,173,433,5943,30,203,408,6351,42,245,556,6907,55,300,528,7435,30,330,493,7928,13,343,431,8359,7,350,168,8527,37,387,433,8960,49,436,582,9542,41,477,612,10154,45,522,487,10641,23,545,570,11211,17,562,477,11688,15,577,409,12097,58,635,341,12438,31,666,601,13039,40,706,642,13681,35,741,718,14399,45,786
Iowa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,5,13,0,0,3,16,0,0,1,17,0,0,0,17,0,0,1,18,0,0,5,23,0,0,0,23,0,0,6,29,0,0,15,44,0,0,1,45,0,0,23,68,0,0,22,90,0,0,15,105,0,0,19,124,0,0,22,146,1,1,33,179,0,1,56,235,2,3,63,298,0,3,38,336,1,4,88,424,2,6,73,497,1,7,50,547,2,9,67,614,2,11,85,699,0,11,88,787,3,14,82,869,4,18,77,946,7,25,100,1046,0,25,99,1145,2,27,125,1270,2,29,118,1388,2,31,122,1510,3,34,77,1587,7,41,123,1710,0,41,189,1899,8,49,96,1995,4,53,146,2141,7,60,191,2332,4,64,181,2513,10,74,389,2902,1,75,257,3159,4,79,482,3641,4,83,107,3748,7,90,176,3924,6,96,521,4445,11,107,647,5092,5,112
Kansas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,4,5,1,1,3,8,0,1,0,8,0,1,3,11,0,1,7,18,0,1,0,18,0,1,16,34,0,1,10,44,0,1,13,57,1,2,8,65,0,2,19,84,0,2,16,100,0,2,34,134,1,3,38,172,0,3,34,206,1,4,60,266,0,4,64,330,3,7,42,372,1,8,62,434,1,9,51,485,1,10,68,553,2,12,76,629,6,18,69,698,3,21,53,751,1,22,98,849,3,25,63,912,4,29,134,1046,5,34,70,1116,8,42,1,1117,0,42,158,1275,13,55,69,1344,1,56,46,1390,6,62,51,1441,7,69,63,1504,2,71,111,1615,9,80,115,1730,2,82,91,1821,3,85,84,1905,8,93,143,2048,9,102,116,2164,7,109,167,2331,3,112,390,2721,1,113,238,2959,5,118,176,3135,2,120
Kentucky,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,2,8,0,0,2,10,0,0,4,14,0,0,0,14,0,0,6,20,0,0,1,21,1,1,5,26,0,1,1,27,0,1,10,37,1,2,10,47,0,2,40,87,1,3,16,103,0,3,20,123,1,4,39,162,0,4,35,197,1,5,50,247,0,5,54,301,2,7,79,380,2,9,58,438,0,9,41,479,2,11,149,628,0,11,4,632,7,18,138,770,13,31,0,770,3,34,147,917,6,40,38,955,5,45,0,955,0,45,194,1149,20,65,0,1149,0,65,192,1341,8,73,352,1693,17,90,0,1693,0,90,270,1963,7,97,55,2018,16,113,30,2048,-7,106,162,2210,9,115,225,2435,14,129,87,2522,8,137,185,2707,7,144,253,2960,2,146,90,3050,8,154,154,3204,17,171,174,3378,14,185,101,3479,6,191,300,3779,9,200,136,3915,5,205
